Designator,Footprint,Quantity,Value,LCSC Part #
"AM0, AM1, AM2, AM3, AM4, AM5",SSOP-24_5.3x8.2mm_P0.65mm,6,CD74HC4067SM,C98457
"C1, C102, C103, C104, C105, C106, C7",0603,7,100nF,
"C10, C100, C101, C110, C111, C112, C113, C114, C115, C116, C117, C12, C14, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C89, C90, C91, C92, C93, C94, C96, C97, C98, C99",0402,96,100nF,
"C107, C108, C109",0402,3,100pF,
C11,0402,1,1uF,
"C13, C8, C9",0402,3,2.2uF,
"C15, C16",0402,2,30pF,
"C17, C18",0805,2,10uF,
C34,0402,1,10nF,
FB1,0603,1,FerriteBead,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,
P1,SW_SPST_SKQG_WithStem,1,SW_Push,
R1,0603,1,3.00K,
"R10, R11",0402,2,10K,
"R12, R4",0603,2,10K,
R13,0603,1,100ohm,
R14,0603,1,1k,
"R15, R16",0402,2,1k,
"R2, R3",0603,2,5.1k,
"R5, R6, R9",0603,3,100R,
"R7, R8",0402,2,22R,
S1,STAB_MX_P_6.25u,1,MX_stab,
S2,STAB_MX_2.25u,1,MX_stab,
S3,STAB_MX_P_2.25u,1,MX_stab,
S4,STAB_MX_P_2u,1,MX_stab,
SW1,SW_MX_HE_0deg_1u_DFN,1,ESC,C146410
SW10,SW_MX_HE_0deg_1u_DFN,1,F9,C146410
SW11,SW_MX_HE_0deg_1u_DFN,1,F10,C146410
SW12,SW_MX_HE_0deg_1u_DFN,1,F11,C146410
SW13,SW_MX_HE_0deg_1u_DFN,1,F12,C146410
SW14,SW_MX_HE_0deg_1u_DFN,1,PrntScrn,C146410
SW15,ROT_Alps_EC11E-Switch,1,RotaryEncoder_Switch,
SW16,SW_MX_HE_0deg_1u_DFN,1,Til,C146410
SW17,SW_MX_HE_0deg_1u_DFN,1,1,C146410
SW18,SW_MX_HE_0deg_1u_DFN,1,2,C146410
SW19,SW_MX_HE_0deg_1u_DFN,1,3,C146410
SW2,SW_MX_HE_0deg_1u_DFN,1,F1,C146410
SW20,SW_MX_HE_0deg_1u_DFN,1,4,C146410
SW21,SW_MX_HE_0deg_1u_DFN,1,5,C146410
SW22,SW_MX_HE_0deg_1u_DFN,1,6,C146410
SW23,SW_MX_HE_0deg_1u_DFN,1,7,C146410
SW24,SW_MX_HE_0deg_1u_DFN,1,8,C146410
SW25,SW_MX_HE_0deg_1u_DFN,1,9,C146410
SW26,SW_MX_HE_0deg_1u_DFN,1,0,C146410
SW27,SW_MX_HE_0deg_1u_DFN,1,Min,C146410
SW28,SW_MX_HE_0deg_1u_DFN,1,Plus,C146410
SW29,SW_MX_HE_0deg_1u_DFN,1,Bs,C146410
SW3,SW_MX_HE_0deg_1u_DFN,1,F2,C146410
SW30,SW_MX_HE_0deg_1u_DFN,1,Del,C146410
SW31,SW_MX_HE_0deg_1u_DFN,1,Tab,C146410
SW32,SW_MX_HE_0deg_1u_DFN,1,Q,C146410
SW33,SW_MX_HE_0deg_1u_DFN,1,W,C146410
SW34,SW_MX_HE_0deg_1u_DFN,1,E,C146410
SW35,SW_MX_HE_0deg_1u_DFN,1,R,C146410
SW36,SW_MX_HE_0deg_1u_DFN,1,T,C146410
SW37,SW_MX_HE_0deg_1u_DFN,1,Y,C146410
SW38,SW_MX_HE_0deg_1u_DFN,1,U,C146410
SW39,SW_MX_HE_0deg_1u_DFN,1,I,C146410
SW4,SW_MX_HE_0deg_1u_DFN,1,F3,C146410
SW40,SW_MX_HE_0deg_1u_DFN,1,O,C146410
SW41,SW_MX_HE_0deg_1u_DFN,1,P,C146410
SW42,SW_MX_HE_0deg_1u_DFN,1,LBrck,C146410
SW43,SW_MX_HE_0deg_1u_DFN,1,RBrck,C146410
SW44,SW_MX_HE_0deg_1u_DFN,1,BSlsh,C146410
SW45,SW_MX_HE_0deg_1u_DFN,1,Home,C146410
SW46,SW_MX_HE_0deg_1u_DFN,1,Caps,C146410
SW47,SW_MX_HE_0deg_1u_DFN,1,A,C146410
SW48,SW_MX_HE_0deg_1u_DFN,1,S,C146410
SW49,SW_MX_HE_0deg_1u_DFN,1,D,C146410
SW5,SW_MX_HE_0deg_1u_DFN,1,F4,C146410
SW50,SW_MX_HE_0deg_1u_DFN,1,F,C146410
SW51,SW_MX_HE_0deg_1u_DFN,1,G,C146410
SW52,SW_MX_HE_0deg_1u_DFN,1,H,C146410
SW53,SW_MX_HE_0deg_1u_DFN,1,J,C146410
SW54,SW_MX_HE_0deg_1u_DFN,1,K,C146410
SW55,SW_MX_HE_0deg_1u_DFN,1,L,C146410
SW56,SW_MX_HE_0deg_1u_DFN,1,Semi,C146410
SW57,SW_MX_HE_0deg_1u_DFN,1,Quot,C146410
SW58,SW_MX_HE_0deg_1u_DFN,1,Enter,C146410
SW59,SW_MX_HE_0deg_1u_DFN,1,End,C146410
SW6,SW_MX_HE_0deg_1u_DFN,1,F5,C146410
SW60,SW_MX_HE_0deg_1u_DFN,1,LShft,C146410
SW61,SW_MX_HE_0deg_1u_DFN,1,Z,C146410
SW62,SW_MX_HE_0deg_1u_DFN,1,X,C146410
SW63,SW_MX_HE_0deg_1u_DFN,1,C,C146410
SW64,SW_MX_HE_0deg_1u_DFN,1,V,C146410
SW65,SW_MX_HE_0deg_1u_DFN,1,B,C146410
SW66,SW_MX_HE_0deg_1u_DFN,1,N,C146410
SW67,SW_MX_HE_0deg_1u_DFN,1,M,C146410
SW68,SW_MX_HE_0deg_1u_DFN,1,Comma,C146410
SW69,SW_MX_HE_0deg_1u_DFN,1,Prd,C146410
SW7,SW_MX_HE_0deg_1u_DFN,1,F6,C146410
SW70,SW_MX_HE_0deg_1u_DFN,1,Slash,C146410
SW71,SW_MX_HE_0deg_1u_DFN,1,RShft,C146410
SW72,SW_MX_HE_0deg_1u_DFN,1,Up,C146410
SW73,SW_MX_HE_0deg_1u_DFN,1,LCtrl,C146410
SW74,SW_MX_HE_0deg_1u_DFN,1,Supr,C146410
SW75,SW_MX_HE_0deg_1u_DFN,1,Alt,C146410
SW76,SW_MX_HE_0deg_1u_DFN,1,Space,C146410
SW77,SW_MX_HE_0deg_1u_DFN,1,RAlt,C146410
SW78,SW_MX_HE_0deg_1u_DFN,1,Fn,C146410
SW79,SW_MX_HE_0deg_1u_DFN,1,Left,C146410
SW8,SW_MX_HE_0deg_1u_DFN,1,F7,C146410
SW80,SW_MX_HE_0deg_1u_DFN,1,Down,C146410
SW81,SW_MX_HE_0deg_1u_DFN,1,Right,C146410
SW9,SW_MX_HE_0deg_1u_DFN,1,F8,C146410
U1,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,MCP1700T-3302E/MAY,
U2,SOT-666,1,USBLC6-2P6,
U3,IC_STM32F723IEK6,1,STM32F723IEK6,
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
