Designator,Mid X,Mid Y,Rotation,Layer
AM0,90.77,-50.02,0,bottom
AM1,233.03,-49.9,0,bottom
AM2,80.87,-109.62,0,bottom
AM3,167,-109.07,270,bottom
AM4,252.65,-108.24,270,bottom
AM5,315.035,-111.350001,0,bottom
C1,295.79,-20.53,270,top
C10,306.49,-26.03,270,top
C100,49.38,-116.71,180,top
C101,312.26,-121.45,180,top
C102,238.06,-46.75,90,bottom
C103,86.25,-106.345,90,bottom
C104,162.25,-102.95,270,bottom
C105,320.49,-108.08,90,bottom
C106,247.1,-103.75,270,bottom
C107,307.429999,-28.905,0,top
C108,309.439999,-28.925,0,top
C109,311.499999,-28.905,180,top
C11,305.355,-26.03,270,top
C110,320.2,-20.77,180,top
C111,312.91,-15.28,90,top
C112,315.946666,-29.29,270,top
C113,313.84,-29.29,270,top
C114,314.893333,-29.29,270,top
C115,306.22,-19.88,0,top
C116,320.22,-26.12,0,top
C117,306.23,-23.11,180,top
C12,304.22,-26.03,270,top
C13,320.2,-23.45,180,top
C14,320.21,-27.17,0,top
C15,304.5025,-20.59,90,top
C16,301.3825,-22.84,270,top
C17,339.28,-19.01,0,top
C18,339.28,-23.89,0,top
C19,37.53,-35.7,180,top
C2,310.87,-15.28,90,top
C20,280.4,-35.8,180,top
C21,212.58,-60.15,180,top
C22,161.32,-78.53,180,top
C23,108.89,-97.6,180,top
C24,82.08,-116.67,180,top
C25,39.89,-135.7,180,top
C26,61.35,-35.75,180,top
C27,304.23,-35.75,180,top
C28,230.43,-59.35,180,top
C29,180.4,-78.56,180,top
C3,311.86,-15.28,270,top
C30,127.99,-97.61,180,top
C31,103.08,-117.13,180,top
C32,63.69,-135.71,180,top
C33,80.4,-35.75,180,top
C34,318.96,-30.33,0,top
C35,250.63,-60,180,top
C36,199.37,-78.52,180,top
C37,147.03,-97.6,180,top
C38,122.23,-116.89,180,top
C39,87.45,-135.69,180,top
C4,313.97,-15.27,270,top
C40,99.48,-35.75,180,top
C41,37.53,-59.6,180,top
C42,266.13,-59.65,180,top
C43,218.48,-78.55,180,top
C44,166.08,-97.67,180,top
C45,141.25,-116.86,180,top
C46,158.96,-135.71,180,top
C47,118.5,-35.75,180,top
C48,56.53,-59.55,180,top
C49,294.68,-59.6,180,top
C5,320.2,-19.72,180,top
C50,237.53,-78.56,180,top
C51,185.16,-97.56,180,top
C52,156.59,-116.63,180,top
C53,232.81,-135.7,180,top
C54,142.28,-35.8,180,top
C55,79.15,-59.95,180,top
C56,328.06,-59.51,180,top
C57,256.5,-78.56,180,top
C58,204.18,-97.59,180,top
C59,175.67,-116.65,180,top
C6,306.22,-18.83,0,top
